date,name,artists,album,url
139607,Niaz,Mc Tes,single,https://open.spotify.com/album/08ddQk9PVxCehoMOZcQgnz
139607,Shorou,Rez,Shahrvand,https://open.spotify.com/track/1BxKThgFRdJoLAZM6MaE3I
139607,Shahr,Rez,Shahrvand,https://open.spotify.com/track/2vsm89Mgsq8oaaAKe0u104
139607,Fasele,"Rez, Navid",Shahrvand,https://open.spotify.com/track/0q7rtnr3RJNcqVCbFCqnPY
139607,Bede Bere,Rez,Shahrvand,https://open.spotify.com/track/5HGcj7KEZrIPvTt1JvnyUr
139607,Khatere,Rez,Shahrvand,https://open.spotify.com/track/1xDQkSoE0GZzjHRA5cPtJw
139607,Kenaram,Rez,Shahrvand,https://open.spotify.com/track/7LE8V3zTt7SQaGxUfh7JN0
139607,Gerye Nakon,Rez,Shahrvand,https://open.spotify.com/track/1OMVLHF8kxdK820EOnKBzb
139607,Sor Bokhor,Rez,Shahrvand,https://open.spotify.com/track/16mV0wcZFqiSEzJ93cIG1r
139607,Faramooshi,Rez,Shahrvand,https://open.spotify.com/track/1MW2940Qr9su4AX5sSrwBl
139607,Sarab,"Rez, Bamdad",Shahrvand,https://open.spotify.com/track/46ortIQulaO3JGnrwdrecr
139607,Barahoot,Rez,Shahrvand,https://open.spotify.com/track/2DKBo6BuV3oCeP913UmOps
139607,Mashin,"Rez, Navid",Shahrvand,https://open.spotify.com/track/0ACYWQjtNFeRh1uIuqaR3D
139607,Khane Be Doosh,"Rez, Navid",Shahrvand,https://open.spotify.com/track/5Ha4OHDGhISEfKXWdzmDbR
139607,Kashtam,Rez,Shahrvand,https://open.spotify.com/track/77miYU3dfeSa0d2lgO5eU9
139607,Avalin Negah,Sefrism,single,https://open.spotify.com/album/34GT6RlW4F6ee2rKpzfxv9
139607,Mardomak,"Reza Pishro, Babak",single,https://open.spotify.com/album/3G05WZmNbwyK8yAp0fIW0z
139607,Parse,Sunboy,single,https://open.spotify.com/album/2eoJgNfQPXxGm3o5XPdKaB
139607,Sansoor,Sunboy,single,https://open.spotify.com/album/1D4pjKLeOxg5SoBHt6zVjS
139607,Jahan,ASADI,single,https://open.spotify.com/album/4ubGdDXIKmM9PWYLUV0pwP
