date,name,artists,album,url
139412,Tavalod,Ali Sorena,Negar,https://open.spotify.com/track/458GQBQ1LYj3HpDJ4VCx9X
139412,Berim Aghabtar,Ali Sorena,Negar,https://open.spotify.com/track/4CKw7yt5yLonDYcRC6aV3S
139412,Negar,Ali Sorena,Negar,https://open.spotify.com/track/6A9tyckDxo5cuNdt0JZBPm
139412,Naghsh,Ali Sorena,Negar,https://open.spotify.com/track/55v50w4gzr63MqWdha21ZT
139412,Keshti,Ali Sorena,Negar,https://open.spotify.com/track/2qqhgEpakLqxMkE3BGCpbb
139412,Jaari,Ali Sorena,Negar,https://open.spotify.com/track/2EYzCCVixDxzBWfbpTBhXY
139412,Morphin,Ali Sorena,Negar,https://open.spotify.com/track/4a5qcCuj0GO4xLYgnHXTfu
139412,Atash,Ali Sorena,Negar,https://open.spotify.com/track/5OxugbGduHJiNKI8vX0jIc
139412,Tark,Ali Sorena,Negar,https://open.spotify.com/track/0UoCEse8yew70ZW6t9hqsL
139412,Paak,Ali Sorena,Negar,https://open.spotify.com/track/1bbq66OzhGzHm0WMve5JDo
139412,Toorbin,Ali Sorena,Negar,https://open.spotify.com/track/44eg9jftxtYTr39cLgCPV3
139412,Toofan,Ali Sorena,Negar,https://open.spotify.com/track/3HqI96gjoeduGlAAwCltvm
139412,Marg,Ali Sorena,Negar,https://open.spotify.com/track/1iTXwyXHaxRzy0WoUivBPQ
139412,Rastakhiz,"Bamdad, Yarapelak, Mahour",Ahan,https://open.spotify.com/track/1uMI3VfANYUzNhn3doYe44
139412,Goftam Goft Goftim,"Bamdad, Yarapelak",Ahan,https://open.spotify.com/track/28w12JgqKhM4NnIsVuqpBa
139412,Mehr,"Bamdad, Yarapelak",Ahan,https://open.spotify.com/track/2pD6BEcF1x9p3ZbPk1PAFk
139412,Aban,"Bamdad, Yarapelak",Ahan,https://open.spotify.com/track/7d7CriMUkcjEwuwRDwFxjP
139412,Adam,"Bamdad, Yarapelak",Ahan,https://open.spotify.com/track/6CZ4RcZrKuZD1SwE2AP7sX
139412,Sib,"Bamdad, Yarapelak",Ahan,https://open.spotify.com/track/5HWq733Zz39uqrSNKoIzXD
139412,Derakht,"Bamdad, Yarapelak",Ahan,https://open.spotify.com/track/4cXVDm14bx1ojbobzoyOUl
139412,Ahan,"Bamdad, Yarapelak, Farshad",Ahan,https://open.spotify.com/track/7jpj3ZecxwbmLYDbI80LkS
139412,Ahangar,"Bamdad, Yarapelak",Ahan,https://open.spotify.com/track/3yRpDNBkyBVW4uxY5nNA2o
139412,Pesare Kochik va Aghaye Topol,"Bamdad, Yarapelak, Daygard",Ahan,https://open.spotify.com/track/033JtEbTMa0QGPUpU8djAE
139412,Tekrar Tekrar Tekrar Tekr...,"Bamdad, Yarapelak",Ahan,https://open.spotify.com/track/5Dv2o75dKGnqz9t0F7gyB7
139412,Bargardam,Sepehr Khalse,Yadegari,https://open.spotify.com/track/5TXLpl2xL6SeLnUvM8mK6v
