Date,Track,Artist,album,Link
140206,Istanbul,"TM Bax, Chvrsi",single,https://open.spotify.com/album/5CELEjlM1nJGgv6wsEvqtt
140206,Fight Club,Chvrsi,single,https://open.spotify.com/album/5lhToJoDKSMQN51uQ94SCH
140206,Frontline,"Siohash, Kusha, Chvrsi",single,https://open.spotify.com/album/2OJzrEuGgDu34LM72cOtdV
140206,WHO KNEW?,Cyrus the Persian,single,https://open.spotify.com/album/3LmZ4tUd5b4Gu1mIpJLwSE
140206,Sun Tzu,Cyrus the Persian,single,https://open.spotify.com/album/3u22EcM1FRMKPc2Fhlu0B3
140206,RAN DEM DOWN,Cyrus the Persian,single,https://open.spotify.com/album/2iNKfzPHFbnh9CrRGgIwP7
140206,Qeysar,Cyrus the Persian,single,https://open.spotify.com/album/0tgB0oEOLxSiPJDPmajwEA
140206,C200,"Dalu, EMVI",single,https://open.spotify.com/album/73kEzeEEB4CAa4IOWF80t0
140206,Azmayeshgah 18,"Dalu, EMVI, PROF K",single,https://open.spotify.com/album/7F3sOiUjSB16xgjnIod2N5
140206,Plan Nemikonam,"Samu, Damuun, Persian Moody",single,https://open.spotify.com/album/2WMv0cvW41uZXnpGCek0dn
140206,Backsy,"Pooyan Ardalan, Dara K, Erfan",single,https://open.spotify.com/album/3gJFvZgKrv40yoYt3bpSaY
140206,Naro,"Farzad MotlaQ, Diezze",single,https://open.spotify.com/album/7tWFaMaNHUJ1LLDoeTfu9V
140206,Bego Chera,Diezze,single,https://open.spotify.com/album/3XgU6OKNZK447XcYWQJzt5
140206,Mibare Ashk,"Farzad MotlaQ, Diezze",single,https://open.spotify.com/album/4toLBVNNtVMCcmnyT6wP3r
140206,Migzaram,"Farzad MotlaQ, Diezze",single,https://open.spotify.com/album/64pf9bBLAhwFIQUPDRn6Fp
140206,Kash,Diezze,single,https://open.spotify.com/album/3K60rwpdgJKxB0StJ4eaM9
140206,FKR,DIXR,single,https://open.spotify.com/album/7mzjaf30BnLENSlGLt29rF
140206,Constantine,Emo Boy,single,https://open.spotify.com/album/30qE9bOv09SlAWczrxNLjc
140206,L!t,Emo Boy,single,https://open.spotify.com/album/49002XHr54aAh8LKxVGulD
140206,Tanafos,Erfan,single,https://open.spotify.com/album/2v0RH78xvnhqV8dr0VHUOQ
140206,EVE,Fde,single,https://open.spotify.com/album/2aRBfHPjpBtbz5btyQIK57
140206,SHIRAZI,"Feragh, MOCI, Azad",single,https://open.spotify.com/album/3yNi4TXCR80ZHreIGuSin5
140206,Nemikoni Dark,FVRVNG,single,https://open.spotify.com/album/2VpO3PXc7auVoVpIDCCi0Q
140206,DMP,"GATvang, SEZAGODS",single,https://open.spotify.com/album/7EbbTIZgK5l7NykLp5yto2
140206,G93,GATvang,single,https://open.spotify.com/album/671gBmOrlBOSqTRPsYBGXJ
140206,Chekhovf,Gooya,single,https://open.spotify.com/album/1Ka53LhYkuORJ3TZbd1BMX
140206,Gharibeh,"Gord, Akoka",single,https://open.spotify.com/album/7slGhRKBQYzPJqccuuLr2Q
140206,Ma Edame Darim,Hichkas,single,https://open.spotify.com/album/5Jgl6uToGT0OLR0U14Plr2
140206,MASK,Highkey,single,https://open.spotify.com/album/7JT8L9aLnsOawDu5WQoKxv
140206,BACK HOOD,Hoodadk4,single,https://open.spotify.com/album/4xCFmpJ1ciDXB4N22wqO2N
140206,MOHRE,Hoodadk4,single,https://open.spotify.com/album/2jTaiB8pK8NNaelgFZuPnZ
140206,Khiaboon,Hossein Khaak,single,https://open.spotify.com/album/4cG7nCSYLw3OFfhSlHGWe5
140206,Tetris,iliyashin,single,https://open.spotify.com/album/0IY8EgmGHVW676NOSSTmIs
140206,Chashm,Justina,single,https://open.spotify.com/album/1iqK733LkqBwsQWR96E1QM
