date,name,artists,album,url
140005,Arqavan,Saleck,single,https://open.spotify.com/album/5eG7YPZV6vq2R3TxtWTrFk
140005,Malibu,Isam,single,https://open.spotify.com/album/1p5EXAxYShAvpGzUDXNjpW
140005,RICH,"Amin Tijay, Kaveh, Pouriya Adroit",single,https://open.spotify.com/album/74bJl8YcyZ5zjM3feabZnK
140005,13,Amin Tijay,single,https://open.spotify.com/album/4RWM0Qvnxus4lWAmwvWwLH
140005,Nasle Man,"Roody, Shour",single,https://open.spotify.com/album/0hxv83klubPFIYYat3qdgF
140005,Streets Of Hunter,Roody,single,https://open.spotify.com/album/1zliV7iMIJ6Rdc8rF0Xqey
140005,"Montazer,Entezar,Manzareh","Motreb, Kamaal, Moallef",single,https://open.spotify.com/album/46seokmX7voDvPP77vIsxr
140005,Door Oftade,"Yarapelak, Motreb",single,https://open.spotify.com/album/0WCFAbm49TtE5ZX2yIP2Mk
140005,Reserve,Dalu,single,https://open.spotify.com/album/0HMn4EpE2JZZF8aPIVtIGp
140005,Adam Bada,Sepehr Khalse,single,https://open.spotify.com/album/0phpSMc0E5MEYYpyY8CYl7
140005,Moorche,Sepehr Khalse,single,https://open.spotify.com/album/4yWcW0RxV3hBqd6fcWXmKB
140005,9MM,"Sohrab Mj, Sepehr Khalse, Ali Ardavan",single,https://open.spotify.com/album/0ZZsXOSgsabU8cTmUHq5ag
140005,Refighaam,Sepehr Khalse,single,https://open.spotify.com/album/4IqRSgZu9fXjL7eDXyTsgu
140005,XXVI,Poori,single,https://open.spotify.com/album/2fwFMCejcmQDK4PHeLorUS
140005,"Mord,Ab","Shalou, MIRZA",single,https://open.spotify.com/album/0XxKXuGsSuZXulDCbF2oQZ
140005,Abaadi,Raavi,single,https://open.spotify.com/album/1BJ2TUh0ILmQwbsv6FYCkh
140005,G2G 2,Young Sudden,single,https://open.spotify.com/album/2k2dPx0URQcRIH4bAfWgzN
140005,Too Khiaboon,Young Sudden,single,https://open.spotify.com/album/6uerMtIsCVbNKwv1GkB98m
140005,Havas,Beatbynajwa,"Isaar, Vol. 2",https://open.spotify.com/track/1hpRTCMNR5zhJhozooRj0X
140005,Khoon Paash,Beatbynajwa,"Isaar, Vol. 2",https://open.spotify.com/track/7wQUACp3hUQYGyfV4Quuvf
140005,Cheshmaat Cheshame,Beatbynajwa,"Isaar, Vol. 2",https://open.spotify.com/track/6c8iCw0cYrLRloyrbmMqY0
140005,Laaleh,Beatbynajwa,"Isaar, Vol. 2",https://open.spotify.com/track/4PXMlvlLeDPY1Nz29YAlhi
140005,Taaraaj,Beatbynajwa,"Isaar, Vol. 2",https://open.spotify.com/track/50aTTNbCSn5mNmXZOwyjWg
140005,Hoboot,Beatbynajwa,"Isaar, Vol. 2",https://open.spotify.com/track/7seLqIihSkdpUoEMM3j1xm
140005,♫♫ⁿ ♬♬ⁿ,Beatbynajwa,"Isaar, Vol. 2",https://open.spotify.com/track/0EqUQhsuSO2T8ezyUDh4yh
140005,Aqeshte Be Khoon,Beatbynajwa,"Isaar, Vol. 2",https://open.spotify.com/track/5joPZeeCOBMsl9DwffKV6g
