date,name,artists,album,url
140104,Nasakhe Noskhe,"Hiphopologist, Ashkan Kagan",single,https://open.spotify.com/album/5ESZrQhJw0uDUfNqDCVeNa
140104,Kooche,Mc Tes,single,https://open.spotify.com/album/2s4Zazx3MlsWHuBiVUbfU4
140104,ENGAR (NOIZEY Remix),"NOIZEY, Isam",single,https://open.spotify.com/album/5SvkxjSs47JTjvqcwAEdI3
140104,Pfizer,"Amin Tijay, Eycin",single,https://open.spotify.com/album/6IsoUBElaO3cuRhVuAbdmS
140104,Nike Boy,Chvrsi,single,https://open.spotify.com/album/1Kq841DY5v6pBZmZ7kh8xL
140104,Boof,"Chvrsi, Arian Dousti",single,https://open.spotify.com/album/3uMEehBUgQvU6L4rwcBPVI
140104,Mahalle,"Bamdad, Nekoo",single,https://open.spotify.com/album/4FQEzDQq9prkpH3IH66djO
140104,Rande,"Aein, Motreb",single,https://open.spotify.com/album/2XD3XQZWwAWWk3CEjH66Ta
140104,SAVA,"Poori, ilakeh",single,https://open.spotify.com/album/5u6VcqATC14d0QBu7c2d6W
140104,MAMA,Poori,single,https://open.spotify.com/album/2UQHdiTTqTulloOWmSn7lP
140104,Memphis,Dorcci,single,https://open.spotify.com/album/3DcmfvqgjN1jD7owgITVmv
140104,Money Work,"RAHMAT ALLAHGXDMC, Kaen",single,https://open.spotify.com/album/3urcM5rLuHTjPDml9lDphH
140104,Hoshyar,"Zagros, Kaen",single,https://open.spotify.com/album/0jJCRvcDB0b6zc4EL3HeNE
140104,Sarnevesht,Kaen,single,https://open.spotify.com/album/5CH5TnhEXuai9rS22HSdM9
140104,1390,"Hoodadk4, Arian Dousti",single,https://open.spotify.com/album/6ONAzALIEWYzxtFUCptcVD
140104,Freeway,Neesh Sound,single,https://open.spotify.com/album/6UfKF9hb87biG2vNMa6Bq5
140104,High Vibe,PaPa Asli,single,https://open.spotify.com/album/4kw6L0uyQ74SRlq9gDzisD
