date,name,artists,album,url
139507,Penhan,Mc Tes,single,https://open.spotify.com/album/3YQAtHTrei2YCZiag1Q8lN
139507,MAN,Kaveh Fared,single,https://open.spotify.com/album/7puzbuKcGKfwm1ipv1ZRqg
139507,Baghboon,Navid,single,https://open.spotify.com/album/2PBp2OBGXKApASfCM0SxMj
139507,Refigh Fabrik,Shayea,single,https://open.spotify.com/album/57NIas29iHDUk2p7hXJmFN
139507,CURLY,Arta,single,https://open.spotify.com/album/0AzDk1OvrerdLdtmBCtgFX
139507,Otaghe Bi Panjereh,Ben,single,https://open.spotify.com/album/2P7weenZPMBmnrbB3rFzZB
139507,Nameyi Be Farzand,Yas,single,https://open.spotify.com/album/4Yii9byBa3izI2CzpAdE2D
139507,Az Iran Ta Baghdad,Sunboy,single,https://open.spotify.com/album/1g3Zy214r7d2DrDCpxbI3M
139507,To Hameja Boodi,Amir Tataloo,Shomareh 7,https://open.spotify.com/track/3WfNvCYkUAz6PWZPhlzOLX
139507,Baghalam Kon,Amir Tataloo,Shomareh 7,https://open.spotify.com/track/2IEyOoc3ekBxa6r6YYT2q6
139507,Donya,Amir Tataloo,Shomareh 7,https://open.spotify.com/track/1QRVjGPsmLHMIFfVuerIPb
139507,Dari Be Chi Fekr Mikoni,Amir Tataloo,Shomareh 7,https://open.spotify.com/track/5weylNoaHtbpUD2nLYjMkI
139507,Alkol Inja Mamnooe,Amir Tataloo,Shomareh 7,https://open.spotify.com/track/10oh1ZcDrbp7QeRzC3u8Un
139507,Senario,Amir Tataloo,Shomareh 7,https://open.spotify.com/track/60sv0RzzdnbDBP2RBvADNW
139507,Moshkele Man Nist,Amir Tataloo,Shomareh 7,https://open.spotify.com/track/0R4IO5Hh1tTqSOgQWLNgbL
139507,Kargardan,Amir Tataloo,Shomareh 7,https://open.spotify.com/track/6R6fJUYtXkqKdf3c7dR8v9
139507,Mage Mishe,Amir Tataloo,Shomareh 7,https://open.spotify.com/track/3cwzbkixH7yyDxbZqXosRn
139507,Mardom Ajiban (Intro),Gdaal,70,https://open.spotify.com/track/0UMovfMCub8LoeBN4nQv0q
139507,Naghd,"Gdaal, Taham",70,https://open.spotify.com/track/4AUvb8vrTU58kH3kW626oG
139507,Barmigardeh,"Gdaal, The Don, Mahta",70,https://open.spotify.com/track/7lKg6xmUdKJeCWoiXj3gVz
139507,Doroughe Saal,"Gdaal, The Don, Parinaz",70,https://open.spotify.com/track/6fvxoAE3qH2HL5vHH4AQhT
139507,Sakht,"Gdaal, Imanemum, Shaan",70,https://open.spotify.com/track/6dXpv0ma1pcWaN55ITFVoY
139507,Yadam Toro Faramush,"Gdaal, The Don",70,https://open.spotify.com/track/2qJBAYZZzB7WcBXSxw6cXk
139507,70,Gdaal,70,https://open.spotify.com/track/7xk1gbKh4C4BC4Ff9XMs0x
139507,Parvaneh,"Gdaal, Shaan",70,https://open.spotify.com/track/3jLbV5AMttGWRyf5lmJpLO
139507,Gorgomish,"Gdaal, Zakhmi",70,https://open.spotify.com/track/4yjyyVRi2HPwAABULKJBpY
139507,Ye Doost,"Gdaal, Imanemum, Shaan",70,https://open.spotify.com/track/3OK8MqIPT0nGKpuEUtJB66
139507,Farda Na,"Gdaal, Donial, Imanemum",70,https://open.spotify.com/track/3qyVnIrhKp12VEjjnFXM2G
139507,Noor (Outro),Gdaal,70,https://open.spotify.com/track/2yXte117vBqpKcV7jguFxM
139507,Barmigardeh - AFX Remix,Gdaal,70,https://open.spotify.com/track/0IMyjGc7BLxhiSMXzWANbx
139507,Motrep,Octave,single,https://open.spotify.com/album/42eDsBenwBkhAeYh5KhvJD
