date,name,artists,url
139406,Tesla - Yeki Hast (Produced By SPAD),SPAD,https://soundcloud.com/spadism/tesla-yeki-hast-produced-by
139406,Tesla - Tarikh (Produced By SPAD),SPAD,https://soundcloud.com/spadism/tesla-tarikh-produced-by-spad
139406,Tesla - Deja vu (Produced By SPAD),SPAD,https://soundcloud.com/spadism/tesla-deja-vu-produced-by-spad
139406,Tesla - Bashe (Produced By SPAD),SPAD,https://soundcloud.com/spadism/tesla-bashe-produced-by-spad
139406,Tesla - Ayandeh (Produced By SPAD),SPAD,https://soundcloud.com/spadism/tesla-ayandeh-produced-by-spad
139406,Shano - Baztab (Produced By SPAD),SPAD,https://soundcloud.com/spadism/shano-baztab-produced-by-spad
139406,Tesla &amp; R-Shout &amp; Shano - Eshgh ( Produced By SPAD ),SPAD,https://soundcloud.com/spadism/tesla-and-r-shout-ft-shano-eshgh-produced-by-spad
139406,1.Dejavu,Jadval,https://soundcloud.com/jadval/1-dejavu
139406,2.Tarikh,Jadval,https://soundcloud.com/jadval/2-tarikh
139406,3.Bashe,Jadval,https://soundcloud.com/jadval/3-bashe
139406,4.Yeki Hast,Jadval,https://soundcloud.com/jadval/4-yeki-hast
139406,5.Ayande,Jadval,https://soundcloud.com/jadval/5-ayande
139406,Shano - Baaztab,Jadval,https://soundcloud.com/jadval/baztab
139406,Reza Tesla .ft Mehvar - Tasvir,Jadval,https://soundcloud.com/jadval/tasvir
139406,Shano .ft Mehvar - Shock,Jadval,https://soundcloud.com/jadval/shock
139406,Atour - Swirl,Divar,https://soundcloud.com/divarrecords/atour-swirl
139406,1. Taghsir [Prod. Sorb],peykar.hiphop,https://soundcloud.com/mohammad-peykar021/1-taghsir-prod-sorb
139406,2. Peykar [Prod. Sorb],peykar.hiphop,https://soundcloud.com/mohammad-peykar021/2-peykar-prod-sorb
139406,3. Mahkoom [Prod. Sorb],peykar.hiphop,https://soundcloud.com/mohammad-peykar021/3-mahkoom-prod-sorb
139406,4. Skit [Prod. Srob],peykar.hiphop,https://soundcloud.com/mohammad-peykar021/4-skit-prod-srob
139406,5. Vaghei [Prod. Sorb],peykar.hiphop,https://soundcloud.com/mohammad-peykar021/5-vaghei-prod-sorb
139406,6. Ghafas [Prod. Sorb &amp; Mizan],peykar.hiphop,https://soundcloud.com/mohammad-peykar021/6-ghafas-prod-sorb-mizan
139406,7. Moghaser [Prod. Sorb],peykar.hiphop,https://soundcloud.com/mohammad-peykar021/7-moghaser-prod-sorb
139406,Gorg (feat Reza Pishro and Ho3ein),Amir Tataloo,https://soundcloud.com/amirtataloo/gorg
139406,To Nemifahmi,Amir Tataloo,https://soundcloud.com/amirtataloo/to-nemifahmi
139406,Too Koocheye Ma Ham Aroosi Mishe,Amir Tataloo,https://soundcloud.com/amirtataloo/too-koocheye-ma-ham-aroosi-mishe
139406,Naarefigh - EviN Ft. Big A (Produced By Mohsen Nokteh),Amin Big A,https://soundcloud.com/amin-big-a/naarefigh-evin-ft-big-a-produced-by-mohsen-nokteh
139406,Shahin Najafi - Proletariat,ShahinNajafi,https://soundcloud.com/shahinnajafimusic/shahin-najafi-proletariat
139406,Safir - Yasin [Prod. by Danial],Cherik,https://soundcloud.com/cherik/safir-yasin-prod-by-danial
