date,name,artists,album,url
138906,Qasedak,Satrap,single,https://open.spotify.com/album/0jvs3MzH6lCUcysqXretej
138906,Intro,Erfan,Hamishegi,https://open.spotify.com/track/5bmwxl5zCeoIsFw78SzT22
138906,Hamishegi,Erfan,Hamishegi,https://open.spotify.com/track/4O9r75iAj8EYhBDza3Jnj7
138906,Tasmim,Erfan,Hamishegi,https://open.spotify.com/track/7Drs61gMVNbEWy1JUZod4d
138906,Shostam Ashkamo,Erfan,Hamishegi,https://open.spotify.com/track/0qd9qh9vGYt6WJYLufWw8B
138906,Rahe Man,Erfan,Hamishegi,https://open.spotify.com/track/112NX1No1LTkBLpRjZqPKH
138906,Farar Az Farda,Erfan,Hamishegi,https://open.spotify.com/track/12BbqoEGp3668WERCgkm4U
138906,Nakhastam,Erfan,Hamishegi,https://open.spotify.com/track/49HhQo39fVWA2ilaSLeD5S
138906,Daam,Erfan,Hamishegi,https://open.spotify.com/track/0GWK6qxxmRFEI6sQMIecNH
138906,Sahneh,Erfan,Hamishegi,https://open.spotify.com/track/5gtdKGJ4mVk64tvX6lBhLy
138906,Doreh Donya,Erfan,Hamishegi,https://open.spotify.com/track/4Wov5hHBesTlpKIiiGSo4F
138906,Bayad,Erfan,Hamishegi,https://open.spotify.com/track/4KBxoWGPlFLkpJmlZ2EtKd
138906,Char Dasto Pa,Erfan,Hamishegi,https://open.spotify.com/track/32lqPwIyv4OGBvbfIb6BHl
138906,Ehhh,Erfan,Hamishegi,https://open.spotify.com/track/3QAHeA7fvtauGBnJHr0lyc
138906,Az Mast Ke Bar Mast,Erfan,Hamishegi,https://open.spotify.com/track/7qMaoVDV8b4Li0ZnXj7a1d
138906,Nefrat,Erfan,Hamishegi,https://open.spotify.com/track/37k4am0dLei4gcQXUpEl2F
138906,Dobareh,Erfan,Hamishegi,https://open.spotify.com/track/7d1RjIROq0rP0IrlZTxGNU
138906,Dastaneh Man,Erfan,Hamishegi,https://open.spotify.com/track/4zRzLQRsKdro3HwmXjCd9h
138906,Outro Hamishegi,Erfan,Hamishegi,https://open.spotify.com/track/1ThP6APnZppoj4srLJxpY3
138906,Ghodrate Ghalam,Mosalas,single,https://open.spotify.com/album/1LAVI4j1AMnzSmiMy3zpLm
138906,6:13 AM (awake?),Nahan,Ey Kash (O Would),https://open.spotify.com/track/3uFLb7L5c9Ks8z30imNbYk
138906,Dood Dood,Nahan,Ey Kash (O Would),https://open.spotify.com/track/4lXcB7Rdu4P8NrnWIM1VUz
138906,Bikari,Nahan,Ey Kash (O Would),https://open.spotify.com/track/3NKDYKBW0IpafnwSzpekMQ
138906,Ey Kash,Nahan,Ey Kash (O Would),https://open.spotify.com/track/3rtu6ODIuM4zZqyJsY4920
138906,Cafe (Part 1),Nahan,Ey Kash (O Would),https://open.spotify.com/track/24YsKrBbtRSEG8q0OE8v7m
138906,Cafe (Part 2),Nahan,Ey Kash (O Would),https://open.spotify.com/track/4p9UqiQU5R1yxguYEGM862
138906,Cafe (Part 3),Nahan,Ey Kash (O Would),https://open.spotify.com/track/2bYdlC0cnPlSvONray8qPe
138906,Ghatar,Nahan,Ey Kash (O Would),https://open.spotify.com/track/7xEQzIGNiq6gh7E8Kuoau5
138906,Delkhoshi,Nahan,Ey Kash (O Would),https://open.spotify.com/track/425yfCtSpd6VZw01U89sxS
138906,Ayeeneh (Part 1),Nahan,Ey Kash (O Would),https://open.spotify.com/track/47BAsbOHkJi6VhBVIOIvhQ
138906,Ayeeneh (Part 2),Nahan,Ey Kash (O Would),https://open.spotify.com/track/10IjRLNvnS7611jEBJAina
138906,7 salegi (Part 1),Nahan,Ey Kash (O Would),https://open.spotify.com/track/7HJIvywzsN2WbBkYLtUhEE
138906,Ali Koochooloo,Nahan,Ey Kash (O Would),https://open.spotify.com/track/0FFEOPuXZKHbOpW7yTmihy
138906,7 salegi (Part 2),Nahan,Ey Kash (O Would),https://open.spotify.com/track/33QY9qmrINCq2kkEMI5Oso
138906,Sorrow,Nahan,Ey Kash (O Would),https://open.spotify.com/track/5ufUNooYfb45fNkIKZZYiE
138906,7:15 AM,Nahan,Ey Kash (O Would),https://open.spotify.com/track/0agnCYxrkXMOTlMxNH2nz1
