date,name,artists,album,url
139705,Dochar,Saeed Dehghan,single,https://open.spotify.com/album/4rkNGBKMiRPo2nYa0MKl7A
139705,Hurricane,Milad Hannibal,single,https://open.spotify.com/album/3Rl4CYPWGI2QqcpPtr1N0a
139705,Parvaz,Majhool,single,https://open.spotify.com/album/1VddOQGRNchM7zACkXer1c
139705,50Years,Sunboy,single,https://open.spotify.com/album/1mK4tYMwPlZSDbqx9CQd2R
139705,Hamechi Hast,"Saman Wilson, Sohrab Mj",single,https://open.spotify.com/album/0RjZ7pTWU5qLySgcZjZErC
139705,Edalat,"Erfan, Gdaal",single,https://open.spotify.com/album/3bhVuNKpgNmX7sseklDnpd
139705,Man Divane Nistam,Hamid Sefat,single,https://open.spotify.com/album/436Hm3GzKeRS7lee51Mghz
139705,Kojay Donya,Justina,single,https://open.spotify.com/album/0hxyNly4PU88QgD2kKRGBV
139705,Kalle Kharab,Amir Reghab,single,https://open.spotify.com/album/5d2grJ4lCv4VwZwxDQxMpI
139705,Pore Dood,Parsalip,single,https://open.spotify.com/album/5yA9JoT2olURdQfEaVGegs
139705,Savage Nist,Octave,single,https://open.spotify.com/album/3MRmjGUvuU5OdRGBAYNx5B
