date,name,artists,album,url
139912,Delgir,"Saleck, Naaji, Kankash",single,https://open.spotify.com/album/0uDOH1SsEsZ1zMDB7zRMSk
139912,Khan,Saleck,Bitarafa,https://open.spotify.com/track/42Uf6nuZhhviA3AguW7zEN
139912,Paradox,Saleck,Bitarafa,https://open.spotify.com/track/5DzQ47MJKg46FB1La2SJ61
139912,Gelayol,Saleck,Bitarafa,https://open.spotify.com/track/4dE2Cjnmf1cQT0hlVXh0Kq
139912,Vagon,Saleck,Bitarafa,https://open.spotify.com/track/4w1nMPIdJOaktMEv7YmwPo
139912,Naqsh,Saleck,Bitarafa,https://open.spotify.com/track/4W7emgI4nXqT29BreDeHfE
139912,Aaber,"Saleck, Sanam",Bitarafa,https://open.spotify.com/track/7IcZfvCijUWGtjntKOoSNM
139912,Cherk,Saleck,Bitarafa,https://open.spotify.com/track/7vokD55WWqpfGEUbwqLquC
139912,Hamin Nazdikia,Saleck,Bitarafa,https://open.spotify.com/track/3dMMDwYnvkDsIaJgaT1Cq2
139912,Pineh Doz,"Saleck, Sanam",Bitarafa,https://open.spotify.com/track/2PUl3ZC4LESMxs5VnSSoc2
139912,Sorb,"Saleck, Peyma",Bitarafa,https://open.spotify.com/track/1XsmRD1GHuvCnI8eEMF3zn
139912,Giutin,"Saleck, Raviyar",Bitarafa,https://open.spotify.com/track/4EA2OZmTq6lzGGzuhILFMo
139912,Karih,Saleck,Bitarafa,https://open.spotify.com/track/0WwCPr7ZeHzmkOHCFJ7jFR
139912,Rozi ke Mordam,"Saleck, Harath",Bitarafa,https://open.spotify.com/track/3KJAW6i0x9X7x1TLTizATl
139912,Delgir,"Saleck, Naaji, Kankash",Bitarafa,https://open.spotify.com/track/740alCEiTvZQDHgivVJx1e
139912,Harkat (Arrabeye Marg),Ali Sorena,Gavazn,https://open.spotify.com/track/14a8ikfm22QaLNgjtUcUdb
139912,Nakhoda Jelal,Ali Sorena,Gavazn,https://open.spotify.com/track/4nFlZ17lJefiiCy90sGNj4
139912,Daar (Dastane Maryam),Ali Sorena,Gavazn,https://open.spotify.com/track/7eEyQTeOQGmB0kPcpyczNV
139912,Goriz Az Markaz ...,Ali Sorena,Gavazn,https://open.spotify.com/track/57AuUmLlMiuESb9sGCdqaw
139912,Birahe,Ali Sorena,Gavazn,https://open.spotify.com/track/0aONLomeW3NewNTMN3K3wJ
139912,Raghs (Pichak),Ali Sorena,Gavazn,https://open.spotify.com/track/2QvsCDwcXEgJx8TiRllBEE
139912,Baad Pichid Too Mazra`eye Gandom,Ali Sorena,Gavazn,https://open.spotify.com/track/5RWIgENuLKOv2MEjpIbbzf
139912,Ghalbhaye Atashin,Ali Sorena,Gavazn,https://open.spotify.com/track/7ndR3Oyp9VQMafU9w0Id1Z
139912,Laghzesh,Ali Sorena,Gavazn,https://open.spotify.com/track/46HZ5NtJ0ii8kjXFX1OEZo
139912,Daroon (Skit),Ali Sorena,Gavazn,https://open.spotify.com/track/4LYcYCkazvWBPX9Rp9OFo6
139912,Gavazn,Ali Sorena,Gavazn,https://open.spotify.com/track/1XprfjEBQhrxxl8ODvkwCk
139912,Istgahe Shahre Yakh,Ali Sorena,Gavazn,https://open.spotify.com/track/39xbvWZR6fBMRfo0puf4bd
139912,Pelikan,Ali Sorena,Gavazn,https://open.spotify.com/track/4iqcjEhxi7GUdBiHAHgM0b
139912,Na Mimiram Na Barmigardam,Ali Sorena,Gavazn,https://open.spotify.com/track/2dUn5H1go7kBaXsrFMeK1y
139912,16.6%,Ali Sorena,Gavazn,https://open.spotify.com/track/4GqJyhAFaEFo648N4LSYY8
139912,Asayeshgah,Ali Sorena,Gavazn,https://open.spotify.com/track/6v87nEOd7Cs0tdbj2x59Ws
